clim,ssp,Window_U_value,Roof_Rc_value,Floor_Rc_value,Façade_Rc_value,ifn,heat,cool,Energy_Consumption,label,co2,crt,uwin,rr,rf,rwall,inf,cost
0.0,0.0,0.0,0.0,2.0,2.0,2.0,86.15719118835186,26.292434230477408,124.2812208225441,5.0,34.104960468217,1.54,0.0,0.0,2.0,2.0,2.0,9371.6221
0.0,0.0,0.0,0.0,2.0,2.0,3.0,73.51202863365538,29.520735500210247,116.31709510896025,5.0,30.396384331981302,1.54,0.0,0.0,2.0,2.0,3.0,9771.6221
0.0,0.0,0.0,0.0,2.0,3.0,0.0,186.4852307701345,13.842228879690811,206.55646264568617,7.0,65.93810634682916,1.54,0.0,0.0,2.0,3.0,0.0,6791.0685
0.0,0.0,0.0,0.0,2.0,3.0,1.0,95.69355370992356,23.70852311275829,130.07091222342308,5.0,36.87446799100877,1.54,0.0,0.0,2.0,3.0,1.0,8191.0685
0.0,0.0,0.0,0.0,2.0,3.0,2.0,82.80791376487011,26.51557526043586,121.2554978925021,5.0,33.0070409527156,1.54,0.0,0.0,2.0,3.0,2.0,8491.068500000001
0.0,0.0,0.0,0.0,2.0,3.0,3.0,70.2280336062295,29.87483970763885,113.54655118230583,5.0,29.34462709261594,1.54,0.0,0.0,2.0,3.0,3.0,8891.068500000001
0.0,0.0,0.0,0.0,2.0,4.0,0.0,185.08392458808208,13.78838153810561,205.0770778183352,7.0,65.45180818142123,1.54,0.0,0.0,2.0,4.0,0.0,7870.3245
0.0,0.0,0.0,0.0,2.0,4.0,1.0,94.35558527799228,23.767949518443903,128.81911207973593,5.0,36.43043375639261,1.54,0.0,0.0,2.0,4.0,1.0,9270.3245
0.0,0.0,0.0,0.0,2.0,4.0,2.0,81.4899960082543,26.61165282225074,120.07689260051788,5.0,32.57653110927835,1.54,0.0,0.0,2.0,4.0,2.0,9570.3245
0.0,0.0,0.0,0.0,2.0,4.0,3.0,68.93204248192657,30.025782373535225,112.46942692355265,5.0,28.93161261821198,1.54,0.0,0.0,2.0,4.0,3.0,9970.3245
0.0,0.0,0.0,0.0,3.0,0.0,0.0,235.95159859223924,16.536200547898222,259.92908938669166,8.0,83.24966822162672,1.54,0.0,0.0,3.0,0.0,0.0,1924.2366
0.0,0.0,0.0,0.0,3.0,0.0,1.0,143.51793587501274,23.904052866585687,178.178812531562,6.0,53.17053987208951,1.54,0.0,0.0,3.0,0.0,1.0,3324.2366
0.0,0.0,0.0,0.0,3.0,0.0,2.0,130.12675977134774,25.82037176843854,167.5662988355836,6.0,48.968226355882486,1.54,0.0,0.0,3.0,0.0,2.0,3624.2366
0.0,0.0,0.0,0.0,3.0,0.0,3.0,116.89095412881358,28.03300262621964,157.53880793683206,5.0,44.872963884394814,1.54,0.0,0.0,3.0,0.0,3.0,4024.2366
0.0,0.0,0.0,0.0,3.0,1.0,0.0,193.97746316512283,14.451272714392989,214.93180860099267,7.0,68.59692038287568,1.54,0.0,0.0,3.0,1.0,0.0,2661.2622
0.0,0.0,0.0,0.0,3.0,1.0,1.0,102.88429250759955,23.941049361612816,137.59881408193814,5.0,39.361871485759,1.54,0.0,0.0,3.0,1.0,1.0,4061.2622
0.0,0.0,0.0,0.0,3.0,1.0,2.0,89.91702426876356,26.61034263405734,128.5020210881467,5.0,35.4414809534121,1.54,0.0,0.0,3.0,1.0,2.0,4361.2622
0.0,0.0,0.0,0.0,3.0,1.0,3.0,77.20444559113201,29.74967956015828,120.34148095336153,5.0,31.69370286049385,1.54,0.0,0.0,3.0,1.0,3.0,4761.2622
0.0,0.0,0.0,0.0,3.0,2.0,0.0,189.88222433113108,14.291727394259476,210.6052290528073,7.0,67.17534238573406,1.54,0.0,0.0,3.0,2.0,0.0,7628.8222
0.0,0.0,0.0,0.0,3.0,2.0,1.0,98.97435396058256,24.08672353425843,133.90010308525729,5.0,38.05915075336736,1.54,0.0,0.0,3.0,2.0,1.0,9028.8222
0.0,0.0,0.0,0.0,3.0,2.0,2.0,86.04946792887507,26.85254657346027,124.98566046039248,5.0,34.17083511876076,1.54,0.0,0.0,3.0,2.0,2.0,9328.8222
0.0,0.0,0.0,0.0,3.0,2.0,3.0,73.4171102324925,30.137360879273366,117.11628350743888,5.0,30.47695451995448,1.54,0.0,0.0,3.0,2.0,3.0,9728.8222
0.0,0.0,0.0,0.0,3.0,3.0,0.0,186.31957666446883,14.156477370554123,206.8464688517724,7.0,65.93929142473081,1.54,0.0,0.0,3.0,3.0,0.0,6748.2686
0.0,0.0,0.0,0.0,3.0,3.0,1.0,95.57571297515668,24.239656656894,130.72321512765296,5.0,36.93159957976488,1.54,0.0,0.0,3.0,3.0,1.0,8148.2686
0.0,0.0,0.0,0.0,3.0,3.0,2.0,82.69911712608733,27.095898139266595,121.9881694280239,5.0,33.07624918235548,1.54,0.0,0.0,3.0,3.0,2.0,8448.2686
0.0,0.0,0.0,0.0,3.0,3.0,3.0,70.1251973845746,30.507117448334085,114.36051768465904,5.0,29.425369603800505,1.54,0.0,0.0,3.0,3.0,3.0,8848.2686
0.0,0.0,0.0,0.0,3.0,4.0,0.0,184.9160540100616,14.105987304908682,205.3697356021792,7.0,65.45285404021922,1.54,0.0,0.0,3.0,4.0,0.0,7827.5246
